"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,40,"KHM","Cambodia",1,"Bântéay Méanchey","Khêt","Province",NA,"Banteay Mean Cheay"
2,40,"KHM","Cambodia",2,"Batdâmbâng","Khêt","Province",NA,"Battambang|Baat Dambang|Bat Dâm Bâng"
3,40,"KHM","Cambodia",3,"Kâmpôt","Khêt","Province",NA,NA
4,40,"KHM","Cambodia",4,"Kâmpóng Cham","Khêt","Province",NA,"Kampong Chaam|Kompong Cham"
5,40,"KHM","Cambodia",5,"Kâmpóng Chhnang","Khêt","Province",NA,"Kompong Chnang"
6,40,"KHM","Cambodia",6,"Kâmpóng Spœ","Khêt","Province",NA,"Kampong Speu|Kompong Speu|Kompong Spueu"
7,40,"KHM","Cambodia",7,"Kâmpóng Thum","Khêt","Province",NA,"Kampong Thom|Kompong Thom"
8,40,"KHM","Cambodia",8,"Kândal","Khêt","Province",NA,"Kandaal"
9,40,"KHM","Cambodia",9,"Kaôh Kong","Khêt","Province",NA,"Koh Kong"
10,40,"KHM","Cambodia",10,"Kep","Khêt","Province",NA,"Keb"
11,40,"KHM","Cambodia",11,"Krâchéh","Khêt","Province",NA,"Kratie|Kratié|Kratiê|Krâ Chéh|Krachen"
12,40,"KHM","Cambodia",12,"Krong Pailin","Municipality","Municipality",NA,"Pailin"
13,40,"KHM","Cambodia",13,"Krong Preah Sihanouk","Krong","Municipality",NA,"Sihanoukville|Kampong Som|Kampong Saom"
14,40,"KHM","Cambodia",14,"Môndól Kiri","Khêt","Province",NA,"Mondul Kiri|Mondolkiri|Môndul Kiri"
15,40,"KHM","Cambodia",15,"Otdar Mean Chey","Khêt","Province",NA,"Oddâr Méanchey"
16,40,"KHM","Cambodia",16,"Phnom Penh","Municipality","Municipality",NA,"Phnum Pénh"
17,40,"KHM","Cambodia",17,"Pouthisat","Khêt","Province",NA,"Pursat"
18,40,"KHM","Cambodia",18,"Preah Vihéar","Khêt","Province",NA,NA
19,40,"KHM","Cambodia",19,"Prey Vêng","Khêt","Province",NA,"Prey Veaeng"
20,40,"KHM","Cambodia",20,"Rôtânôkiri","Khêt","Province",NA,"Ratana Kiri|Râtanakiri|Rotanah Kiri|Rotanak Kiri"
21,40,"KHM","Cambodia",21,"Siemréab","Khêt","Province",NA,"Siem Reap|Siem Reab|Siem Réab|Siemreap"
22,40,"KHM","Cambodia",22,"Stœng Trêng","Khêt","Province",NA,"Stung Treng|Stueng Traeng|Stung Treng"
23,40,"KHM","Cambodia",23,"Svay Rieng","Khêt","Province",NA,"Soairieng|Svaay Rieng"
24,40,"KHM","Cambodia",24,"Takêv","Khêt","Province",NA,"Takeo|Taakaev|Takaev|Takeo"
25,40,"KHM","Cambodia",25,"Tbong Khmum","Khêt","Province",NA,NA
